DATE,VXVCLS,VXNCLS,VXDCLS
1997-10-07,.,.,21.48
1997-10-08,.,.,21.62
1997-10-09,.,.,21.76
1997-10-10,.,.,21.63
1997-10-13,.,.,22.33
1997-10-14,.,.,22.15
1997-10-15,.,.,22.09
1997-10-16,.,.,22.18
1997-10-17,.,.,22.37
1997-10-20,.,.,22.12
1997-10-21,.,.,21.44
1997-10-22,.,.,21.39
1997-10-23,.,.,23.24
1997-10-24,.,.,23.69
1997-10-27,.,.,.
1997-10-28,.,.,31.20
1997-10-29,.,.,33.07
1997-10-30,.,.,36.48
1997-10-31,.,.,33.68
1997-11-03,.,.,31.48
1997-11-04,.,.,31.81
1997-11-05,.,.,31.54
1997-11-06,.,.,31.73
1997-11-07,.,.,34.25
1997-11-10,.,.,36.16
1997-11-11,.,.,34.17
1997-11-12,.,.,35.96
1997-11-13,.,.,35.26
1997-11-14,.,.,32.40
1997-11-17,.,.,30.36
1997-11-18,.,.,29.61
1997-11-19,.,.,28.67
1997-11-20,.,.,27.01
1997-11-21,.,.,26.01
1997-11-24,.,.,28.87
1997-11-25,.,.,28.15
1997-11-26,.,.,26.96
1997-11-27,.,.,.
1997-11-28,.,.,27.01
1997-12-01,.,.,25.40
1997-12-02,.,.,25.47
1997-12-03,.,.,23.67
1997-12-04,.,.,24.33
1997-12-05,.,.,22.75
1997-12-08,.,.,23.44
1997-12-09,.,.,23.15
1997-12-10,.,.,24.83
1997-12-11,.,.,27.44
1997-12-12,.,.,27.64
1997-12-15,.,.,26.95
1997-12-16,.,.,25.76
1997-12-17,.,.,25.97
1997-12-18,.,.,27.47
1997-12-19,.,.,29.07
1997-12-22,.,.,28.08
1997-12-23,.,.,29.33
1997-12-24,.,.,29.10
1997-12-25,.,.,.
1997-12-26,.,.,28.55
1997-12-29,.,.,26.55
1997-12-30,.,.,24.13
1997-12-31,.,.,23.92
1998-01-01,.,.,.
1998-01-02,.,.,23.37
1998-01-05,.,.,24.18
1998-01-06,.,.,25.25
1998-01-07,.,.,25.21
1998-01-08,.,.,25.69
1998-01-09,.,.,29.45
1998-01-12,.,.,27.79
1998-01-13,.,.,25.16
1998-01-14,.,.,23.78
1998-01-15,.,.,23.95
1998-01-16,.,.,22.16
1998-01-19,.,.,.
1998-01-20,.,.,22.04
1998-01-21,.,.,21.95
1998-01-22,.,.,23.09
1998-01-23,.,.,22.99
1998-01-26,.,.,23.60
1998-01-27,.,.,22.57
1998-01-28,.,.,22.18
1998-01-29,.,.,21.71
1998-01-30,.,.,21.66
1998-02-02,.,.,21.67
1998-02-03,.,.,21.24
1998-02-04,.,.,21.08
1998-02-05,.,.,21.37
1998-02-06,.,.,20.89
1998-02-09,.,.,21.70
1998-02-10,.,.,21.12
1998-02-11,.,.,20.55
1998-02-12,.,.,20.00
1998-02-13,.,.,19.94
1998-02-16,.,.,.
1998-02-17,.,.,20.65
1998-02-18,.,.,19.66
1998-02-19,.,.,19.92
1998-02-20,.,.,19.30
1998-02-23,.,.,19.34
1998-02-24,.,.,19.74
1998-02-25,.,.,19.03
1998-02-26,.,.,19.09
1998-02-27,.,.,19.05
1998-03-02,.,.,19.72
1998-03-03,.,.,19.18
1998-03-04,.,.,19.67
1998-03-05,.,.,21.11
1998-03-06,.,.,19.30
1998-03-09,.,.,20.20
1998-03-10,.,.,19.49
1998-03-11,.,.,18.84
1998-03-12,.,.,17.84
1998-03-13,.,.,18.64
1998-03-16,.,.,18.03
1998-03-17,.,.,18.01
1998-03-18,.,.,17.67
1998-03-19,.,.,17.39
1998-03-20,.,.,17.87
1998-03-23,.,.,20.57
1998-03-24,.,.,20.41
1998-03-25,.,.,22.55
1998-03-26,.,.,22.33
1998-03-27,.,.,22.83
1998-03-30,.,.,24.07
1998-03-31,.,.,23.81
1998-04-01,.,.,22.90
1998-04-02,.,.,22.18
1998-04-03,.,.,21.83
1998-04-06,.,.,23.75
1998-04-07,.,.,23.69
1998-04-08,.,.,24.21
1998-04-09,.,.,22.23
1998-04-10,.,.,.
1998-04-13,.,.,22.45
1998-04-14,.,.,20.50
1998-04-15,.,.,20.88
1998-04-16,.,.,22.34
1998-04-17,.,.,20.25
1998-04-20,.,.,20.78
1998-04-21,.,.,19.67
1998-04-22,.,.,19.46
1998-04-23,.,.,20.69
1998-04-24,.,.,22.43
1998-04-27,.,.,25.68
1998-04-28,.,.,24.21
1998-04-29,.,.,22.80
1998-04-30,.,.,21.61
1998-05-01,.,.,19.90
1998-05-04,.,.,20.79
1998-05-05,.,.,21.70
1998-05-06,.,.,22.81
1998-05-07,.,.,23.48
1998-05-08,.,.,21.06
1998-05-11,.,.,21.77
1998-05-12,.,.,21.04
1998-05-13,.,.,20.85
1998-05-14,.,.,20.07
1998-05-15,.,.,20.31
1998-05-18,.,.,21.87
1998-05-19,.,.,19.94
1998-05-20,.,.,19.33
1998-05-21,.,.,19.22
1998-05-22,.,.,18.71
1998-05-25,.,.,.
1998-05-26,.,.,22.76
1998-05-27,.,.,21.97
1998-05-28,.,.,20.81
1998-05-29,.,.,21.84
1998-06-01,.,.,22.79
1998-06-02,.,.,22.25
1998-06-03,.,.,23.35
1998-06-04,.,.,21.80
1998-06-05,.,.,19.94
1998-06-08,.,.,20.64
1998-06-09,.,.,20.15
1998-06-10,.,.,21.14
1998-06-11,.,.,23.04
1998-06-12,.,.,22.38
1998-06-15,.,.,26.09
1998-06-16,.,.,24.59
1998-06-17,.,.,22.57
1998-06-18,.,.,21.72
1998-06-19,.,.,21.72
1998-06-22,.,.,21.34
1998-06-23,.,.,19.34
1998-06-24,.,.,19.07
1998-06-25,.,.,19.67
1998-06-26,.,.,18.98
1998-06-29,.,.,19.41
1998-06-30,.,.,19.59
1998-07-01,.,.,18.26
1998-07-02,.,.,18.36
1998-07-03,.,.,.
1998-07-06,.,.,18.91
1998-07-07,.,.,19.25
1998-07-08,.,.,18.77
1998-07-09,.,.,19.20
1998-07-10,.,.,19.23
1998-07-13,.,.,20.09
1998-07-14,.,.,19.58
1998-07-15,.,.,19.71
1998-07-16,.,.,18.74
1998-07-17,.,.,18.39
1998-07-20,.,.,19.32
1998-07-21,.,.,21.61
1998-07-22,.,.,21.53
1998-07-23,.,.,24.12
1998-07-24,.,.,23.68
1998-07-27,.,.,24.32
1998-07-28,.,.,25.39
1998-07-29,.,.,25.83
1998-07-30,.,.,23.68
1998-07-31,.,.,25.68
1998-08-03,.,.,26.32
1998-08-04,.,.,30.88
1998-08-05,.,.,29.69
1998-08-06,.,.,29.37
1998-08-07,.,.,27.87
1998-08-10,.,.,28.99
1998-08-11,.,.,31.01
1998-08-12,.,.,28.89
1998-08-13,.,.,30.92
1998-08-14,.,.,32.58
1998-08-17,.,.,31.29
1998-08-18,.,.,28.18
1998-08-19,.,.,27.99
1998-08-20,.,.,29.27
1998-08-21,.,.,31.60
1998-08-24,.,.,30.39
1998-08-25,.,.,29.80
1998-08-26,.,.,30.20
1998-08-27,.,.,38.63
1998-08-28,.,.,37.70
1998-08-31,.,.,42.50
1998-09-01,.,.,35.92
1998-09-02,.,.,36.24
1998-09-03,.,.,38.92
1998-09-04,.,.,39.44
1998-09-07,.,.,.
1998-09-08,.,.,35.97
1998-09-09,.,.,37.86
1998-09-10,.,.,42.95
1998-09-11,.,.,39.14
1998-09-14,.,.,36.20
1998-09-15,.,.,35.39
1998-09-16,.,.,34.09
1998-09-17,.,.,37.97
1998-09-18,.,.,36.92
1998-09-21,.,.,37.17
1998-09-22,.,.,35.06
1998-09-23,.,.,31.86
1998-09-24,.,.,34.09
1998-09-25,.,.,33.70
1998-09-28,.,.,33.97
1998-09-29,.,.,33.74
1998-09-30,.,.,37.61
1998-10-01,.,.,39.13
1998-10-02,.,.,37.34
1998-10-05,.,.,39.17
1998-10-06,.,.,38.99
1998-10-07,.,.,41.32
1998-10-08,.,.,41.61
1998-10-09,.,.,39.68
1998-10-12,.,.,39.85
1998-10-13,.,.,39.56
1998-10-14,.,.,37.81
1998-10-15,.,.,33.68
1998-10-16,.,.,34.41
1998-10-19,.,.,32.36
1998-10-20,.,.,32.42
1998-10-21,.,.,32.57
1998-10-22,.,.,31.01
1998-10-23,.,.,30.74
1998-10-26,.,.,30.62
1998-10-27,.,.,31.35
1998-10-28,.,.,30.58
1998-10-29,.,.,28.11
1998-10-30,.,.,27.06
1998-11-02,.,.,26.64
1998-11-03,.,.,27.57
1998-11-04,.,.,27.02
1998-11-05,.,.,25.77
1998-11-06,.,.,25.66
1998-11-09,.,.,27.47
1998-11-10,.,.,27.78
1998-11-11,.,.,27.83
1998-11-12,.,.,28.62
1998-11-13,.,.,28.32
1998-11-16,.,.,28.72
1998-11-17,.,.,27.06
1998-11-18,.,.,26.23
1998-11-19,.,.,24.52
1998-11-20,.,.,22.17
1998-11-23,.,.,21.85
1998-11-24,.,.,23.80
1998-11-25,.,.,22.37
1998-11-26,.,.,.
1998-11-27,.,.,22.75
1998-11-30,.,.,25.37
1998-12-01,.,.,24.98
1998-12-02,.,.,25.27
1998-12-03,.,.,28.25
1998-12-04,.,.,24.61
1998-12-07,.,.,24.73
1998-12-08,.,.,25.32
1998-12-09,.,.,24.85
1998-12-10,.,.,27.19
1998-12-11,.,.,27.64
1998-12-14,.,.,30.81
1998-12-15,.,.,28.16
1998-12-16,.,.,29.01
1998-12-17,.,.,26.85
1998-12-18,.,.,23.68
1998-12-21,.,.,23.22
1998-12-22,.,.,22.80
1998-12-23,.,.,20.43
1998-12-24,.,.,22.16
1998-12-25,.,.,.
1998-12-28,.,.,23.70
1998-12-29,.,.,22.46
1998-12-30,.,.,24.03
1998-12-31,.,.,24.90
1999-01-01,.,.,.
1999-01-04,.,.,25.80
1999-01-05,.,.,24.51
1999-01-06,.,.,23.56
1999-01-07,.,.,24.15
1999-01-08,.,.,22.66
1999-01-11,.,.,21.63
1999-01-12,.,.,26.82
1999-01-13,.,.,29.06
1999-01-14,.,.,32.11
1999-01-15,.,.,28.06
1999-01-18,.,.,.
1999-01-19,.,.,28.63
1999-01-20,.,.,27.47
1999-01-21,.,.,30.57
1999-01-22,.,.,30.30
1999-01-25,.,.,30.93
1999-01-26,.,.,28.42
1999-01-27,.,.,29.76
1999-01-28,.,.,27.81
1999-01-29,.,.,26.40
1999-02-01,.,.,27.65
1999-02-02,.,.,28.61
1999-02-03,.,.,27.40
1999-02-04,.,.,29.24
1999-02-05,.,.,29.35
1999-02-08,.,.,29.73
1999-02-09,.,.,31.01
1999-02-10,.,.,30.26
1999-02-11,.,.,27.22
1999-02-12,.,.,29.26
1999-02-15,.,.,.
1999-02-16,.,.,30.01
1999-02-17,.,.,30.69
1999-02-18,.,.,30.43
1999-02-19,.,.,28.44
1999-02-22,.,.,26.71
1999-02-23,.,.,26.26
1999-02-24,.,.,27.12
1999-02-25,.,.,27.60
1999-02-26,.,.,27.21
1999-03-01,.,.,27.77
1999-03-02,.,.,28.39
1999-03-03,.,.,28.08
1999-03-04,.,.,26.46
1999-03-05,.,.,24.24
1999-03-08,.,.,24.14
1999-03-09,.,.,24.37
1999-03-10,.,.,24.28
1999-03-11,.,.,23.89
1999-03-12,.,.,24.48
1999-03-15,.,.,24.13
1999-03-16,.,.,24.12
1999-03-17,.,.,24.79
1999-03-18,.,.,24.08
1999-03-19,.,.,24.13
1999-03-22,.,.,24.96
1999-03-23,.,.,27.49
1999-03-24,.,.,27.04
1999-03-25,.,.,24.83
1999-03-26,.,.,24.93
1999-03-29,.,.,25.17
1999-03-30,.,.,24.38
1999-03-31,.,.,25.21
1999-04-01,.,.,24.40
1999-04-02,.,.,.
1999-04-05,.,.,24.70
1999-04-06,.,.,25.14
1999-04-07,.,.,25.19
1999-04-08,.,.,25.04
1999-04-09,.,.,24.79
1999-04-12,.,.,25.44
1999-04-13,.,.,24.73
1999-04-14,.,.,27.72
1999-04-15,.,.,26.40
1999-04-16,.,.,26.59
1999-04-19,.,.,29.08
1999-04-20,.,.,27.79
1999-04-21,.,.,24.81
1999-04-22,.,.,24.85
1999-04-23,.,.,24.85
1999-04-26,.,.,24.86
1999-04-27,.,.,24.56
1999-04-28,.,.,25.58
1999-04-29,.,.,26.09
1999-04-30,.,.,26.24
1999-05-03,.,.,24.99
1999-05-04,.,.,26.45
1999-05-05,.,.,25.60
1999-05-06,.,.,27.18
1999-05-07,.,.,25.45
1999-05-10,.,.,24.78
1999-05-11,.,.,23.81
1999-05-12,.,.,23.52
1999-05-13,.,.,23.19
1999-05-14,.,.,25.58
1999-05-17,.,.,26.26
1999-05-18,.,.,25.63
1999-05-19,.,.,23.98
1999-05-20,.,.,23.90
1999-05-21,.,.,23.60
1999-05-24,.,.,26.82
1999-05-25,.,.,28.25
1999-05-26,.,.,26.84
1999-05-27,.,.,27.48
1999-05-28,.,.,25.64
1999-05-31,.,.,.
1999-06-01,.,.,26.47
1999-06-02,.,.,25.93
1999-06-03,.,.,26.03
1999-06-04,.,.,23.29
1999-06-07,.,.,23.23
1999-06-08,.,.,23.90
1999-06-09,.,.,23.97
1999-06-10,.,.,25.14
1999-06-11,.,.,25.35
1999-06-14,.,.,26.09
1999-06-15,.,.,25.51
1999-06-16,.,.,22.21
1999-06-17,.,.,21.52
1999-06-18,.,.,21.17
1999-06-21,.,.,20.41
1999-06-22,.,.,21.04
1999-06-23,.,.,20.96
1999-06-24,.,.,22.10
1999-06-25,.,.,21.33
1999-06-28,.,.,22.19
1999-06-29,.,.,22.13
1999-06-30,.,.,20.56
1999-07-01,.,.,19.18
1999-07-02,.,.,18.40
1999-07-05,.,.,.
1999-07-06,.,.,19.75
1999-07-07,.,.,19.62
1999-07-08,.,.,19.47
1999-07-09,.,.,19.15
1999-07-12,.,.,17.77
1999-07-13,.,.,18.09
1999-07-14,.,.,18.35
1999-07-15,.,.,17.45
1999-07-16,.,.,16.16
1999-07-19,.,.,17.68
1999-07-20,.,.,21.01
1999-07-21,.,.,20.63
1999-07-22,.,.,20.87
1999-07-23,.,.,21.17
1999-07-26,.,.,23.03
1999-07-27,.,.,21.96
1999-07-28,.,.,22.21
1999-07-29,.,.,23.52
1999-07-30,.,.,23.68
1999-08-02,.,.,24.11
1999-08-03,.,.,24.30
1999-08-04,.,.,25.61
1999-08-05,.,.,24.92
1999-08-06,.,.,25.04
1999-08-09,.,.,24.89
1999-08-10,.,.,25.35
1999-08-11,.,.,24.41
1999-08-12,.,.,22.90
1999-08-13,.,.,21.08
1999-08-16,.,.,21.01
1999-08-17,.,.,20.99
1999-08-18,.,.,21.47
1999-08-19,.,.,22.19
1999-08-20,.,.,21.75
1999-08-23,.,.,21.36
1999-08-24,.,.,20.65
1999-08-25,.,.,19.88
1999-08-26,.,.,20.30
1999-08-27,.,.,20.95
1999-08-30,.,.,22.37
1999-08-31,.,.,23.19
1999-09-01,.,.,21.64
1999-09-02,.,.,22.75
1999-09-03,.,.,20.11
1999-09-06,.,.,.
1999-09-07,.,.,21.66
1999-09-08,.,.,21.77
1999-09-09,.,.,21.56
1999-09-10,.,.,21.32
1999-09-13,.,.,21.69
1999-09-14,.,.,22.17
1999-09-15,.,.,22.81
1999-09-16,.,.,23.30
1999-09-17,.,.,21.86
1999-09-20,.,.,21.66
1999-09-21,.,.,23.46
1999-09-22,.,.,23.21
1999-09-23,.,.,24.84
1999-09-24,.,.,25.60
1999-09-27,.,.,24.86
1999-09-28,.,.,24.60
1999-09-29,.,.,24.58
1999-09-30,.,.,23.78
1999-10-01,.,.,24.12
1999-10-04,.,.,23.01
1999-10-05,.,.,23.74
1999-10-06,.,.,21.98
1999-10-07,.,.,22.03
1999-10-08,.,.,20.17
1999-10-11,.,.,19.27
1999-10-12,.,.,20.86
1999-10-13,.,.,22.72
1999-10-14,.,.,22.72
1999-10-15,.,.,25.23
1999-10-18,.,.,25.67
1999-10-19,.,.,24.13
1999-10-20,.,.,22.87
1999-10-21,.,.,22.74
1999-10-22,.,.,20.96
1999-10-25,.,.,23.01
1999-10-26,.,.,23.90
1999-10-27,.,.,24.03
1999-10-28,.,.,22.14
1999-10-29,.,.,21.56
1999-11-01,.,.,22.37
1999-11-02,.,.,23.07
1999-11-03,.,.,23.24
1999-11-04,.,.,22.31
1999-11-05,.,.,21.26
1999-11-08,.,.,21.66
1999-11-09,.,.,21.91
1999-11-10,.,.,21.55
1999-11-11,.,.,21.51
1999-11-12,.,.,20.39
1999-11-15,.,.,20.90
1999-11-16,.,.,19.87
1999-11-17,.,.,20.51
1999-11-18,.,.,19.87
1999-11-19,.,.,19.05
1999-11-22,.,.,20.51
1999-11-23,.,.,21.17
1999-11-24,.,.,21.13
1999-11-25,.,.,.
1999-11-26,.,.,22.51
1999-11-29,.,.,23.32
1999-11-30,.,.,23.86
1999-12-01,.,.,22.46
1999-12-02,.,.,22.49
1999-12-03,.,.,21.24
1999-12-06,.,.,22.87
1999-12-07,.,.,23.19
1999-12-08,.,.,23.57
1999-12-09,.,.,23.15
1999-12-10,.,.,22.62
1999-12-13,.,.,24.12
1999-12-14,.,.,24.54
1999-12-15,.,.,25.09
1999-12-16,.,.,23.89
1999-12-17,.,.,23.71
1999-12-20,.,.,24.69
1999-12-21,.,.,24.08
1999-12-22,.,.,23.84
1999-12-23,.,.,22.76
1999-12-24,.,.,.
1999-12-27,.,.,24.11
1999-12-28,.,.,23.93
1999-12-29,.,.,24.00
1999-12-30,.,.,25.53
1999-12-31,.,.,25.06
2000-01-03,.,.,25.28
2000-01-04,.,.,26.88
2000-01-05,.,.,25.93
2000-01-06,.,.,25.69
2000-01-07,.,.,22.50
2000-01-10,.,.,21.20
2000-01-11,.,.,21.38
2000-01-12,.,.,22.45
2000-01-13,.,.,20.49
2000-01-14,.,.,18.11
2000-01-17,.,.,.
2000-01-18,.,.,20.37
2000-01-19,.,.,20.66
2000-01-20,.,.,21.79
2000-01-21,.,.,21.14
2000-01-24,.,.,23.25
2000-01-25,.,.,23.16
2000-01-26,.,.,23.02
2000-01-27,.,.,22.68
2000-01-28,.,.,25.42
2000-01-31,.,.,24.38
2000-02-01,.,.,23.25
2000-02-02,.,.,22.91
2000-02-03,.,.,21.95
2000-02-04,.,.,21.66
2000-02-07,.,.,21.90
2000-02-08,.,.,21.06
2000-02-09,.,.,22.40
2000-02-10,.,.,22.55
2000-02-11,.,.,23.90
2000-02-14,.,.,23.16
2000-02-15,.,.,22.05
2000-02-16,.,.,23.07
2000-02-17,.,.,23.13
2000-02-18,.,.,24.62
2000-02-21,.,.,.
2000-02-22,.,.,24.97
2000-02-23,.,.,24.68
2000-02-24,.,.,24.80
2000-02-25,.,.,25.74
2000-02-28,.,.,25.26
2000-02-29,.,.,24.00
2000-03-01,.,.,23.42
2000-03-02,.,.,23.18
2000-03-03,.,.,21.95
2000-03-06,.,.,23.32
2000-03-07,.,.,25.33
2000-03-08,.,.,27.45
2000-03-09,.,.,24.64
2000-03-10,.,.,24.95
2000-03-13,.,.,26.19
2000-03-14,.,.,26.91
2000-03-15,.,.,25.06
2000-03-16,.,.,23.25
2000-03-17,.,.,24.25
2000-03-20,.,.,25.33
2000-03-21,.,.,24.17
2000-03-22,.,.,24.06
2000-03-23,.,.,24.19
2000-03-24,.,.,25.54
2000-03-27,.,.,26.97
2000-03-28,.,.,26.98
2000-03-29,.,.,25.78
2000-03-30,.,.,26.58
2000-03-31,.,.,26.49
2000-04-03,.,.,24.62
2000-04-04,.,.,26.97
2000-04-05,.,.,28.80
2000-04-06,.,.,27.39
2000-04-07,.,.,25.59
2000-04-10,.,.,25.18
2000-04-11,.,.,25.43
2000-04-12,.,.,27.22
2000-04-13,.,.,28.05
2000-04-14,.,.,32.12
2000-04-17,.,.,29.83
2000-04-18,.,.,28.57
2000-04-19,.,.,27.44
2000-04-20,.,.,26.66
2000-04-21,.,.,.
2000-04-24,.,.,27.59
2000-04-25,.,.,26.71
2000-04-26,.,.,27.51
2000-04-27,.,.,27.21
2000-04-28,.,.,26.61
2000-05-01,.,.,26.13
2000-05-02,.,.,26.92
2000-05-03,.,.,29.85
2000-05-04,.,.,30.20
2000-05-05,.,.,26.93
2000-05-08,.,.,26.85
2000-05-09,.,.,28.37
2000-05-10,.,.,28.73
2000-05-11,.,.,27.42
2000-05-12,.,.,26.18
2000-05-15,.,.,25.43
2000-05-16,.,.,25.73
2000-05-17,.,.,25.57
2000-05-18,.,.,25.22
2000-05-19,.,.,26.10
2000-05-22,.,.,27.06
2000-05-23,.,.,26.58
2000-05-24,.,.,25.94
2000-05-25,.,.,25.97
2000-05-26,.,.,25.70
2000-05-29,.,.,.
2000-05-30,.,.,25.44
2000-05-31,.,.,25.54
2000-06-01,.,.,24.40
2000-06-02,.,.,23.51
2000-06-05,.,.,23.67
2000-06-06,.,.,24.40
2000-06-07,.,.,24.44
2000-06-08,.,.,25.01
2000-06-09,.,.,24.53
2000-06-12,.,.,25.61
2000-06-13,.,.,24.40
2000-06-14,.,.,22.98
2000-06-15,.,.,23.05
2000-06-16,.,.,22.82
2000-06-19,.,.,22.22
2000-06-20,.,.,22.86
2000-06-21,.,.,22.37
2000-06-22,.,.,23.17
2000-06-23,.,.,23.35
2000-06-26,.,.,22.67
2000-06-27,.,.,22.87
2000-06-28,.,.,22.50
2000-06-29,.,.,21.79
2000-06-30,.,.,21.72
2000-07-03,.,.,20.59
2000-07-04,.,.,.
2000-07-05,.,.,21.19
2000-07-06,.,.,20.76
2000-07-07,.,.,19.11
2000-07-10,.,.,18.60
2000-07-11,.,.,18.51
2000-07-12,.,.,19.12
2000-07-13,.,.,19.69
2000-07-14,.,.,18.97
2000-07-17,.,.,19.60
2000-07-18,.,.,19.09
2000-07-19,.,.,19.11
2000-07-20,.,.,18.03
2000-07-21,.,.,18.25
2000-07-24,.,.,18.52
2000-07-25,.,.,18.23
2000-07-26,.,.,18.82
2000-07-27,.,.,18.26
2000-07-28,.,.,18.64
2000-07-31,.,.,18.73
2000-08-01,.,.,18.40
2000-08-02,.,.,18.33
2000-08-03,.,.,18.02
2000-08-04,.,.,17.63
2000-08-07,.,.,16.73
2000-08-08,.,.,15.49
2000-08-09,.,.,16.74
2000-08-10,.,.,16.79
2000-08-11,.,.,15.23
2000-08-14,.,.,13.47
2000-08-15,.,.,14.87
2000-08-16,.,.,14.39
2000-08-17,.,.,14.16
2000-08-18,.,.,16.18
2000-08-21,.,.,16.20
2000-08-22,.,.,15.72
2000-08-23,.,.,16.12
2000-08-24,.,.,15.61
2000-08-25,.,.,15.09
2000-08-28,.,.,15.01
2000-08-29,.,.,15.03
2000-08-30,.,.,16.24
2000-08-31,.,.,15.52
2000-09-01,.,.,15.58
2000-09-04,.,.,.
2000-09-05,.,.,16.41
2000-09-06,.,.,16.50
2000-09-07,.,.,16.85
2000-09-08,.,.,16.93
2000-09-11,.,.,22.11
2000-09-12,.,.,20.37
2000-09-13,.,.,20.84
2000-09-14,.,.,21.78
2000-09-15,.,.,21.23
2000-09-18,.,.,20.19
2000-09-19,.,.,18.71
2000-09-20,.,.,19.27
2000-09-21,.,.,18.80
2000-09-22,.,.,19.19
2000-09-25,.,.,19.53
2000-09-26,.,.,20.38
2000-09-27,.,.,19.95
2000-09-28,.,.,18.66
2000-09-29,.,.,19.12
2000-10-02,.,.,19.15
2000-10-03,.,.,19.13
2000-10-04,.,.,19.73
2000-10-05,.,.,18.93
2000-10-06,.,.,19.90
2000-10-09,.,.,20.52
2000-10-10,.,.,20.73
2000-10-11,.,.,21.91
2000-10-12,.,.,22.10
2000-10-13,.,.,24.58
2000-10-16,.,.,23.59
2000-10-17,.,.,24.42
2000-10-18,.,.,24.71
2000-10-19,.,.,23.60
2000-10-20,.,.,21.85
2000-10-23,.,.,23.05
2000-10-24,.,.,22.45
2000-10-25,.,.,23.95
2000-10-26,.,.,25.13
2000-10-27,.,.,23.34
2000-10-30,.,.,22.74
2000-10-31,.,.,20.92
2000-11-01,.,.,21.47
2000-11-02,.,.,21.32
2000-11-03,.,.,21.17
2000-11-06,.,.,22.07
2000-11-07,.,.,22.78
2000-11-08,.,.,23.17
2000-11-09,.,.,23.90
2000-11-10,.,.,26.39
2000-11-13,.,.,26.40
2000-11-14,.,.,24.60
2000-11-15,.,.,24.25
2000-11-16,.,.,23.17
2000-11-17,.,.,22.98
2000-11-20,.,.,24.33
2000-11-21,.,.,24.06
2000-11-22,.,.,24.43
2000-11-23,.,.,.
2000-11-24,.,.,23.83
2000-11-27,.,.,23.41
2000-11-28,.,.,23.62
2000-11-29,.,.,23.04
2000-11-30,.,.,25.04
2000-12-01,.,.,24.21
2000-12-04,.,.,23.80
2000-12-05,.,.,22.12
2000-12-06,.,.,22.51
2000-12-07,.,.,22.82
2000-12-08,.,.,22.59
2000-12-11,.,.,21.05
2000-12-12,.,.,21.78
2000-12-13,.,.,21.30
2000-12-14,.,.,23.03
2000-12-15,.,.,24.39
2000-12-18,.,.,24.01
2000-12-19,.,.,24.07
2000-12-20,.,.,26.69
2000-12-21,.,.,25.34
2000-12-22,.,.,23.85
2000-12-25,.,.,.
2000-12-26,.,.,24.29
2000-12-27,.,.,23.87
2000-12-28,.,.,23.49
2000-12-29,.,.,23.71
2001-01-01,.,.,.
2001-01-02,.,.,25.03
2001-01-03,.,.,22.68
2001-01-04,.,.,22.82
2001-01-05,.,.,23.69
2001-01-08,.,.,24.86
2001-01-09,.,.,23.72
2001-01-10,.,.,23.00
2001-01-11,.,.,22.66
2001-01-12,.,.,22.05
2001-01-15,.,.,.
2001-01-16,.,.,21.78
2001-01-17,.,.,22.17
2001-01-18,.,.,21.31
2001-01-19,.,.,20.78
2001-01-22,.,.,21.14
2001-01-23,.,.,19.82
2001-01-24,.,.,19.75
2001-01-25,.,.,19.86
2001-01-26,.,.,19.89
2001-01-29,.,.,20.23
2001-01-30,.,.,20.03
2001-01-31,.,.,20.72
2001-02-01,.,.,20.20
2001-02-02,.,54.89,19.94
2001-02-05,.,55.85,19.98
2001-02-06,.,53.68,19.57
2001-02-07,.,54.41,19.20
2001-02-08,.,54.66,19.23
2001-02-09,.,55.85,19.10
2001-02-12,.,57.05,19.68
2001-02-13,.,58.42,19.01
2001-02-14,.,57.49,19.62
2001-02-15,.,55.19,18.51
2001-02-16,.,55.34,19.07
2001-02-19,.,.,.
2001-02-20,.,57.93,20.47
2001-02-21,.,59.57,21.64
2001-02-22,.,60.99,22.35
2001-02-23,.,62.03,23.41
2001-02-26,.,61.77,21.51
2001-02-27,.,63.27,21.11
2001-02-28,.,63.65,23.50
2001-03-01,.,64.32,23.27
2001-03-02,.,65.69,23.18
2001-03-05,.,64.19,23.29
2001-03-06,.,61.20,22.15
2001-03-07,.,59.17,21.04
2001-03-08,.,59.10,20.75
2001-03-09,.,60.40,22.87
2001-03-12,.,68.10,26.70
2001-03-13,.,67.31,25.00
2001-03-14,.,64.79,26.26
2001-03-15,.,64.77,26.65
2001-03-16,.,65.53,27.60
2001-03-19,.,65.99,27.66
2001-03-20,.,65.94,28.47
2001-03-21,.,62.29,29.21
2001-03-22,.,62.30,29.81
2001-03-23,.,61.48,27.33
2001-03-26,.,62.02,26.71
2001-03-27,.,58.53,25.70
2001-03-28,.,60.17,26.60
2001-03-29,.,62.37,26.77
2001-03-30,.,62.23,26.73
2001-04-02,.,63.87,28.66
2001-04-03,.,65.02,32.00
2001-04-04,.,65.33,31.54
2001-04-05,.,65.79,29.14
2001-04-06,.,67.24,29.30
2001-04-09,.,66.10,30.13
2001-04-10,.,66.19,27.89
2001-04-11,.,63.28,27.58
2001-04-12,.,59.23,25.26
2001-04-13,.,.,.
2001-04-16,.,65.57,25.73
2001-04-17,.,64.99,25.21
2001-04-18,.,62.23,24.33
2001-04-19,.,64.04,23.06
2001-04-20,.,65.58,24.76
2001-04-23,.,68.78,26.11
2001-04-24,.,70.06,26.19
2001-04-25,.,68.98,25.89
2001-04-26,.,67.29,24.87
